,articles,published,title
88,"Microsoft warns of critical flaw in Canon printer drivers
 | CrushFTP CVE-2025-2825 flaw actively exploited in the wild
 | Frances antitrust authority fines Apple 150M for issues related to its App… [+152280 chars]",2025-04-01T18:32:12Z,Microsoft warns of critical flaw in Canon printer drivers
89,"Apple backported fixes for three actively exploited flaws to older devices
 | Spike in Palo Alto Networks scanner activity suggests imminent cyber threats
 | Microsoft warns of critical flaw in Can… [+152440 chars]",2025-04-02T08:52:53Z,Apple backported fixes for three actively exploited flaws to older devices
90,"Medusa ransomware uses malicious Windows driver ABYSSWORKER to disable security tools
 | Attackers can bypass middleware auth checks by exploiting critical Next.js flaw
 | FBI warns of malicious fr… [+150211 chars]",2025-03-24T14:56:19Z,Medusa ransomware uses malicious Windows driver ABYSSWORKER to disable security tools
91,"U.S. Treasury removed sanctions against the crypto mixer service Tornado Cash
 | Zero-day broker Operation Zero offers up to $4 million for Telegram exploits
 | RansomHub affiliate uses custom back… [+149706 chars]",2025-03-22T17:27:32Z,U.S. Treasury removed sanctions against the crypto mixer service Tornado Cash
92,"Veeam fixed critical Backup &amp; Replication flaw CVE-2025-23120
 | U.S. CISA adds Edimax IC-7100 IP Camera, NAKIVO, and SAP NetWeaver AS Java flaws to its Known Exploited Vulnerabilities catalog
… [+149333 chars]",2025-03-20T19:26:50Z,Veeam fixed critical Backup & Replication flaw CVE-2025-23120
93,"SECURITY AFFAIRS MALWARE NEWSLETTER ROUND 39
 | Security Affairs newsletter Round 517 by Pierluigi Paganini INTERNATIONAL EDITION
 | Sams Club Investigates Alleged Cl0p Ransomware Breach
 | FBI an… [+151699 chars]",2025-03-30T14:12:33Z,SECURITY AFFAIRS MALWARE NEWSLETTER ROUND 39
94,"Security Affairs newsletter Round 517 by Pierluigi Paganini INTERNATIONAL EDITION
 | Sams Club Investigates Alleged Cl0p Ransomware Breach
 | FBI and DOJ seize $8.2 Million in romance baiting crypt… [+151650 chars]",2025-03-30T13:59:59Z,Security Affairs newsletter Round 517 by Pierluigi Paganini – INTERNATIONAL EDITION
95,"FBI and DOJ seize $8.2 Million in romance baiting crypto fraud scheme
 | Experts warn of the new sophisticate Crocodilus mobile banking Trojan
 | Crooks are reviving the Grandoreiro banking trojan… [+151506 chars]",2025-03-29T17:58:37Z,FBI and DOJ seize $8.2 Million in romance baiting crypto fraud scheme
96,"SECURITY AFFAIRS MALWARE NEWSLETTER ROUND 39
 | Security Affairs newsletter Round 517 by Pierluigi Paganini INTERNATIONAL EDITION
 | Sams Club Investigates Alleged Cl0p Ransomware Breach
 | FBI an… [+151699 chars]",2025-03-30T23:11:20Z,CISA warns of RESURGE malware exploiting Ivanti flaw
97,"Mozilla fixed critical Firefox vulnerability CVE-2025-2857
 | U.S. CISA adds Google Chromium Mojo flaw to its Known Exploited Vulnerabilities catalog
 | Crooks target DeepSeek users with fake spons… [+151220 chars]",2025-03-28T09:51:49Z,Mozilla fixed critical Firefox vulnerability CVE-2025-2857
98,"U.S. CISA adds Cisco Smart Licensing Utility flaw to its Known Exploited Vulnerabilities catalog
 | Russia-linked Gamaredon targets Ukraine with Remcos RAT
 | CoffeeLoader uses a GPU-based packer t… [+151978 chars]",2025-03-31T19:56:01Z,U.S. CISA adds Cisco Smart Licensing Utility flaw to its Known Exploited Vulnerabilities catalog
99,"Spike in Palo Alto Networks scanner activity suggests imminent cyber threats
 | Microsoft warns of critical flaw in Canon printer drivers
 | CrushFTP CVE-2025-2825 flaw actively exploited in the wi… [+152361 chars]",2025-04-02T07:29:05Z,Spike in Palo Alto Networks scanner activity suggests imminent cyber threats
